"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.032840000E-1,-4.830333591E-1,5.270404220E-1,5.258743167E-1,8.874889460E-1
6.132870000E-1,-6.002458334E-1,7.201460004E-1,6.196550727E-1,1.123778328E0
6.232900000E-1,-6.820173860E-1,7.594148517E-1,6.856740117E-1,1.229637134E0
6.332920000E-1,-6.874654889E-1,6.683343649E-1,7.132012248E-1,1.194962597E0
6.432950001E-1,-5.783688426E-1,5.045973659E-1,7.129573226E-1,1.047586351E0
6.532980001E-1,-3.649684489E-1,3.548159599E-1,6.526950598E-1,8.277120122E-1
6.633009999E-1,-6.839989871E-2,2.688379288E-1,5.591326356E-1,6.241647878E-1
6.733039999E-1,2.448263317E-1,2.079186738E-1,4.524631500E-1,5.548810771E-1
6.833068333E-1,4.759064317E-1,1.012215316E-1,3.975719213E-1,6.283280694E-1
6.933098333E-1,5.011947155E-1,-6.326914765E-3,4.687642455E-1,6.862769780E-1
7.033118333E-1,3.776956797E-1,4.132769257E-2,5.180755854E-1,6.424673663E-1
7.133148334E-1,2.048107088E-1,1.079612896E-1,5.093734264E-1,5.595215403E-1
7.233178334E-1,3.036141023E-2,1.717059314E-1,4.692009091E-1,5.005539284E-1
7.333208334E-1,-1.120826453E-1,2.700875103E-1,4.371140897E-1,5.259073208E-1
7.433238334E-1,-2.191995233E-1,3.508090079E-1,4.743093848E-1,6.293526703E-1
7.533268332E-1,-2.852286398E-1,3.735579550E-1,5.123139024E-1,6.952456093E-1
7.633288333E-1,-3.241371810E-1,3.346470296E-1,6.202979088E-1,7.757725454E-1
7.733318333E-1,-3.553575277E-1,2.446054369E-1,7.054145336E-1,8.268739061E-1
7.833348333E-1,-3.619185090E-1,1.674145013E-1,7.418529987E-1,8.422342276E-1
7.933378334E-1,-3.637032211E-1,1.212231517E-1,7.652944326E-1,8.559501470E-1
8.033408334E-1,-3.584240377E-1,9.826590866E-2,7.635327578E-1,8.491797523E-1
8.133438334E-1,-3.515011668E-1,9.407167882E-2,7.329479456E-1,8.183002151E-1
8.233468332E-1,-3.080232143E-1,1.135955825E-1,6.731751561E-1,7.489639830E-1
8.333488333E-1,-2.110559642E-1,8.773715794E-2,6.000918150E-1,6.421468799E-1
8.433518333E-1,-1.114662513E-1,5.475683883E-2,5.428162813E-1,5.568415860E-1
8.533548333E-1,-3.675550967E-2,5.629337579E-2,4.913178682E-1,4.958963191E-1
8.633578334E-1,-3.679811954E-2,9.878437966E-2,4.609301388E-1,4.728308875E-1
8.733608334E-1,-1.239312440E-1,1.551560909E-1,4.322105050E-1,4.756451266E-1
8.833638334E-1,-2.652833164E-1,2.674871385E-1,3.874033391E-1,5.403757530E-1
8.933668332E-1,-4.209192097E-1,3.966992199E-1,3.369114995E-1,6.693673212E-1
9.033688332E-1,-5.275820494E-1,5.007231236E-1,3.048382401E-1,7.886652128E-1
9.133718333E-1,-5.328679681E-1,5.826507807E-1,2.929569185E-1,8.421721675E-1
9.233748333E-1,-4.442760348E-1,6.303098798E-1,2.749843001E-1,8.187112464E-1
9.333778333E-1,-2.866781950E-1,5.807195306E-1,2.493316978E-1,6.939638724E-1
9.433808334E-1,-1.172574684E-1,4.809109271E-1,2.094924003E-1,5.375050692E-1
9.533838334E-1,2.358721569E-2,3.465358615E-1,1.697849184E-1,3.866139917E-1
9.633858334E-1,1.259141117E-1,2.146742344E-1,1.255972087E-1,2.787723969E-1
9.733888332E-1,2.098292559E-1,1.072503105E-1,9.272847325E-2,2.532380609E-1
9.833918333E-1,2.611164153E-1,5.303234980E-2,6.107068062E-2,2.733566178E-1
9.933948333E-1,2.874915302E-1,1.872494258E-2,4.343752936E-2,2.913568643E-1
